Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,Dist_CityHall_Miles,Median_Income,School_Score_External,Matched_School,School_Index_Real,School_Score_Norm,School_Rating_Category_Real,School_Merge_Type,HouseAge,RemodAge,GarageAge,TotalSF,TotalPorchSF,TotalBath,OutdoorSF,HasGarage,HasBasement,HasFireplace,HasPool,Has2ndFloor,QualityLivArea,BathPerBedroom,GarageScore,Quality_x_School,LivingArea_x_School,Age_x_School,Quality_x_Income,Quality_x_ExternalSchool,Age_x_Distance,TotalHomeQuality,TotalHouseSF,LivLotRatio,YearsSinceRemodel,IsRemodeled,TotalRooms
11,20,RL,70.0,11200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,GasA,Ex,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,,Detchd,1965.0,Unf,1,384,TA,TA,Y,0,0,0,0,0,0,,,,0,2,2008,WD,Normal,129500,1.8105311308911887,54717.25405405406,0.40797806640789763,Sawyer Elementary School,412.85,0.08543797397898861,Acceptable,Exact name based school proxy,43,43,43.0,2080,0,2.0,0,1,1,0,0,0,5200,0.5,384,0.42718986989494306,88.85549293814816,3.6738328810965104,273586.2702702703,2.039890332039488,77.85283862832111,10,2464,0.09285714285714286,43,0,6
12,60,RL,85.0,11924,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,GasA,Ex,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3,736,TA,TA,Y,147,21,0,0,0,0,,,,0,7,2006,New,Partial,345000,1.8690900933179198,126508.24935064935,0.9432598884391945,,476.1727268643306,0.526005196300916,District Average Proxy,Ames district weighted average,1,0,1.0,3499,21,4.0,168,1,1,1,0,1,20916,0.8,2208,4.734046766708245,1222.4360762033289,0.526005196300916,1138574.2441558442,8.48933899595275,1.8690900933179198,14,4235,0.1949010399194901,0,1,14
13,20,RL,,12968,Pave,,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,GasA,TA,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,TA,4,Typ,0,,Detchd,1962.0,Unf,1,352,TA,TA,Y,140,0,0,0,176,0,,,,0,9,2008,WD,Normal,144000,1.8105311308911887,54717.25405405406,0.40797806640789763,Sawyer Elementary School,412.85,0.08543797397898861,Acceptable,Exact name based school proxy,46,46,46.0,1824,176,2.0,316,1,1,0,0,0,4560,0.6666666666666666,352,0.42718986989494306,77.91943226883761,3.9301468030334763,273586.2702702703,2.039890332039488,83.28443202099467,11,2176,0.0703269586674892,46,0,5
14,20,RL,91.0,10652,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,GasA,Ex,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3,840,TA,TA,Y,160,33,0,0,0,0,,,,0,8,2007,New,Partial,279500,1.201975341512912,79186.30933333334,0.5904221241781665,,476.1727268643306,0.526005196300916,District Average Proxy,Ames district weighted average,1,0,1.0,2988,33,2.0,193,1,1,1,0,0,10458,0.5,2520,3.682036374106412,785.8517632735685,0.526005196300916,554304.1653333334,4.132954869247166,1.201975341512912,12,3828,0.14025535110777318,0,1,9
15,20,RL,,10920,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,GasA,TA,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1,352,TA,TA,Y,0,213,176,0,0,0,,GdWo,,0,5,2008,WD,Normal,157000,4.2459918836018975,58338.831999999995,0.4349809632687835,,476.1727268643306,0.526005196300916,District Average Proxy,Ames district weighted average,48,48,48.0,2506,389,2.5,389,1,1,1,0,0,7518,0.8333333333333334,352,3.156031177805496,659.0845109650478,25.24824942244397,350032.99199999997,2.609885779612701,203.80761041289108,11,2858,0.11474358974358974,48,0,6
16,45,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,GasA,Ex,Y,FuseA,854,0,0,854,0,0,1,0,2,1,TA,5,Typ,0,,Detchd,1991.0,Unf,2,576,TA,TA,Y,48,112,0,0,0,0,,GdPrv,,0,7,2007,WD,Normal,132000,3.1939631788866647,49933.620689655174,0.3723107522461928,,476.1727268643306,0.526005196300916,District Average Proxy,Ames district weighted average,78,6,16.0,1686,112,1.0,160,1,1,0,0,0,5978,0.3333333333333333,1152,3.682036374106412,449.2084376409823,41.02840531147145,349535.3448275862,2.6061752657233495,249.12912795315984,15,2262,0.13954248366013072,6,1,6
17,20,RL,,11241,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,GasA,Ex,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,,,Shed,700,3,2010,WD,Normal,149000,4.2459918836018975,58338.831999999995,0.4349809632687835,,476.1727268643306,0.526005196300916,District Average Proxy,Ames district weighted average,40,40,40.0,2008,0,2.0,0,1,1,1,0,0,6024,0.6666666666666666,960,3.156031177805496,528.1092170861197,21.04020785203664,350032.99199999997,2.609885779612701,169.83967534407589,13,2488,0.08931589716217418,40,0,6
18,90,RL,72.0,10791,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,Slab,,,,,0,,0,0,0,GasA,TA,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,TA,6,Typ,0,,CarPort,1967.0,Unf,2,516,TA,TA,Y,0,0,0,0,0,0,,,Shed,500,10,2006,WD,Normal,90000,1.8105311308911887,54717.25405405406,0.40797806640789763,Sawyer Elementary School,412.85,0.08543797397898861,Acceptable,Exact name based school proxy,39,39,39.0,1296,0,2.0,0,1,0,0,0,0,5184,0.6666666666666666,1032,0.34175189591595445,110.72761427676924,3.3320809851805557,218869.01621621623,1.6319122656315905,70.61071410475635,9,1812,0.12010008340283569,39,0,8
19,20,RL,66.0,13695,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,GasA,Ex,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,,Detchd,2004.0,Unf,2,576,TA,TA,Y,0,102,0,0,0,0,,,,0,6,2008,WD,Normal,159000,3.2533380262507077,74622.3186440678,0.5563924907709279,,476.1727268643306,0.526005196300916,District Average Proxy,Ames district weighted average,4,4,4.0,2228,102,2.5,102,1,1,0,0,0,5570,0.625,1152,2.63002598150458,585.9697886792204,2.104020785203664,373111.593220339,2.7819624538546393,13.01335210500283,10,2804,0.08134355604235122,4,0,7
20,20,RL,70.0,7560,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,GasA,TA,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,TA,6,Min1,0,,Attchd,1958.0,Unf,1,294,TA,TA,Y,0,0,0,0,0,0,,MnPrv,,0,5,2009,COD,Abnorml,139000,4.2459918836018975,58338.831999999995,0.4349809632687835,,476.1727268643306,0.526005196300916,District Average Proxy,Ames district weighted average,51,44,51.0,2368,0,1.0,0,1,1,0,0,0,6695,0.25,294,2.63002598150458,704.3209578469266,26.826265011346717,291694.16,2.1749048163439175,216.54558606369676,11,2662,0.17711640211640212,44,1,7
21,60,RL,101.0,14215,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,GasA,Ex,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3,853,TA,TA,Y,240,154,0,0,0,0,,,,0,11,2006,New,Partial,325300,1.8690900933179198,126508.24935064935,0.9432598884391945,,476.1727268643306,0.526005196300916,District Average Proxy,Ames district weighted average,1,0,1.0,3534,154,3.5,394,1,1,1,0,1,19008,0.7,2559,4.208041570407328,1249.7883464109764,0.526005196300916,1012065.9948051948,7.546079107513556,1.8690900933179198,13,4387,0.1671473795286669,0,1,12
22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,637,GasA,Ex,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1930.0,Unf,1,280,TA,TA,N,0,0,205,0,0,0,,GdPrv,,0,6,2007,WD,Normal,139400,3.6863266000822046,40049.51351351351,0.29861372552940846,,476.1727268643306,0.526005196300916,District Average Proxy,Ames district weighted average,77,57,77.0,1745,205,1.0,205,1,1,1,0,0,7756,0.25,280,3.682036374106412,582.8137575014149,40.50240011517053,280346.5945945946,2.090296078705859,283.84714820632973,14,2025,0.14874479795945764,57,1,7
23,20,RL,75.0,9742,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,GasA,Ex,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002.0,RFn,2,534,TA,TA,Y,171,159,0,0,0,0,,,,0,9,2008,WD,Normal,230000,1.201975341512912,79186.30933333334,0.5904221241781665,,476.1727268643306,0.526005196300916,District Average Proxy,Ames district weighted average,6,6,6.0,3572,159,2.0,330,1,1,1,0,0,14360,0.5,1068,4.208041570407328,944.1793273601443,3.156031177805496,633490.4746666667,4.723376993425332,7.211852049077471,13,4106,0.18425374666392938,6,0,9
24,120,RM,44.0,4224,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,GasA,TA,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,Unf,2,572,TA,TA,Y,100,110,0,0,0,0,,,,0,6,2007,WD,Normal,129900,0.592630224331111,39430.58823529412,0.29399894829644513,,476.1727268643306,0.526005196300916,District Average Proxy,Ames district weighted average,31,31,31.0,2100,110,2.0,210,1,1,1,0,0,5300,0.5,1144,2.63002598150458,557.565508078971,16.306161085328398,197152.9411764706,1.4699947414822256,18.371536954264442,12,2672,0.2509469696969697,31,0,7
25,20,RL,,8246,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,1060,GasA,Ex,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,1968.0,Unf,1,270,TA,TA,Y,406,90,0,0,0,0,,MnPrv,,0,5,2010,WD,Normal,154000,1.8105311308911887,54717.25405405406,0.40797806640789763,Sawyer Elementary School,412.85,0.08543797397898861,Acceptable,Exact name based school proxy,42,9,42.0,2120,90,2.0,496,1,1,1,0,0,5300,0.5,270,0.42718986989494306,90.56425241772793,3.5883949071175216,273586.2702702703,2.039890332039488,76.04230749742993,13,2390,0.12854717438758187,9,1,7
26,20,RL,110.0,14230,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,GasA,Ex,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3,890,TA,TA,Y,0,56,0,0,0,0,,,,0,7,2009,WD,Normal,256300,1.8690900933179198,126508.24935064935,0.9432598884391945,,476.1727268643306,0.526005196300916,District Average Proxy,Ames district weighted average,2,2,2.0,3166,56,2.0,56,1,1,1,0,0,12800,0.5,2670,4.208041570407328,841.6083140814657,1.052010392601832,1012065.9948051948,7.546079107513556,3.7381801866358395,13,4056,0.11243851018973998,2,0,9
27,20,RL,60.0,7200,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,900,GasA,TA,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,Gd,5,Typ,0,,Detchd,2005.0,Unf,2,576,TA,TA,Y,222,32,0,0,0,0,,,,0,5,2010,WD,Normal,134800,4.2459918836018975,58338.831999999995,0.4349809632687835,,476.1727268643306,0.526005196300916,District Average Proxy,Ames district weighted average,59,10,5.0,1800,32,1.5,254,1,1,0,0,0,4500,0.375,1152,2.63002598150458,473.4046766708244,31.034306581754045,291694.16,2.1749048163439175,250.51352113251195,12,2376,0.125,10,1,6
28,20,RL,98.0,11478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,GasA,Ex,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3,772,TA,TA,Y,0,50,0,0,0,0,,,,0,5,2010,WD,Normal,306000,1.8690900933179198,126508.24935064935,0.9432598884391945,,476.1727268643306,0.526005196300916,District Average Proxy,Ames district weighted average,3,2,2.0,3408,50,3.0,50,1,1,1,0,0,13632,0.75,2316,4.208041570407328,896.3128544967609,1.578015588902748,1012065.9948051948,7.546079107513556,5.6072702799537595,13,4180,0.14845791949817042,2,1,9
29,20,RL,47.0,16321,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,GasA,TA,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1957.0,RFn,1,319,TA,TA,Y,288,258,0,0,0,0,,,,0,12,2006,WD,Normal,207500,4.2459918836018975,58338.831999999995,0.4349809632687835,,476.1727268643306,0.526005196300916,District Average Proxy,Ames district weighted average,49,9,49.0,3084,258,2.0,546,1,1,1,0,0,8000,0.6666666666666666,319,2.63002598150458,841.6083140814657,25.774254618744884,291694.16,2.1749048163439175,208.05360229649298,11,3403,0.09803320874946388,9,1,7
